Wall time,Step,Value
1756211762.9926815,334050,1029.254150390625
1756211764.628365,334825,1069.89892578125
1756211766.044802,335450,1032.640625
1756211768.8550608,336675,993.2026977539062
1756211770.573618,337400,921.2884521484375
1756211771.43541,337775,846.4759521484375
1756211774.3114133,338875,804.349365234375
1756211776.2884624,339775,845.3360595703125
1756211777.5184054,340300,808.4108276367188
1756211779.1854858,341050,852.9440307617188
1756211779.9270368,341350,819.39453125
1756211781.5675952,342050,822.6552734375
1756211783.1188715,342725,791.4866333007812
1756211784.0938118,343150,799.1766357421875
1756211786.682099,344250,796.4208984375
1756211788.684375,345125,798.070556640625
1756211789.9329069,345675,769.005859375
1756211791.16232,346225,733.494873046875
1756211792.4432788,346750,731.51806640625
1756211795.3689854,348050,695.1318359375
1756211796.2330785,348450,696.1640625
1756211799.2695076,349600,705.9412841796875
1756211801.4042642,350450,741.396728515625
1756211802.3561265,350825,716.4190673828125
1756211806.317623,352575,642.2211303710938
1756211807.176024,352925,640.1780395507812
1756211808.9367886,353700,642.7557983398438
1756211810.5040214,354375,626.0733642578125
1756211812.9535675,355450,644.15283203125
1756211815.3106763,356475,614.58251953125
1756211815.8408244,356675,584.1778564453125
1756211821.6497488,358950,562.5963134765625
1756211823.517025,359725,520.6290283203125
1756211824.867077,360250,515.7682495117188
1756211827.3863776,361275,548.8756103515625
1756211829.3177514,362050,557.0084838867188
1756211831.025842,362750,571.4979248046875
1756211835.658414,364600,576.2464599609375
1756211837.1297991,365175,575.8054809570312
1756211838.4464653,365700,575.4299926757812
1756211840.7515903,366575,582.250244140625
1756211844.0819757,367925,588.8629150390625
1756211844.6997242,368225,580.8798217773438
1756211846.9931777,369200,585.7821044921875
1756211847.913366,369600,627.0380859375
1756211849.0274885,370100,652.6489868164062
1756211850.7925181,370900,688.7166137695312
1756211851.6676137,371275,667.9512329101562
1756211852.7129958,371725,656.7288818359375
1756211855.1213856,372775,665.7155151367188
1756211855.694414,373025,666.909912109375
1756211858.3494036,374175,691.2127685546875
1756211861.2816195,375150,695.5856323242188
1756211861.909297,375425,688.4583129882812
1756211862.5331419,375700,692.2948608398438
1756211865.8598444,377300,674.4248046875
1756211867.076999,377825,665.5247802734375
1756211867.5852094,378050,651.447509765625
1756211868.9932053,378675,648.44384765625
1756211870.481903,379325,676.43701171875
1756211871.6183321,379825,676.8321533203125
1756211871.9229374,379975,672.3136596679688
1756211873.8595757,380850,686.5888671875
1756211875.110754,381375,676.6685180664062
1756211879.605957,383375,659.0694580078125
1756211880.3917203,383650,657.9563598632812
1756211881.1530292,383975,673.181396484375
1756211881.5212831,384150,638.16650390625
1756211883.2954364,384950,676.2756958007812
1756211885.6156504,385850,680.2345581054688
1756211887.1225686,386450,663.30322265625
1756211887.935477,386775,660.5421752929688
1756211888.358367,386950,666.6087646484375
1756211889.5243528,387425,630.7400512695312
1756211890.1360817,387675,616.4528198242188
1756211893.8861601,389250,628.985595703125
1756211894.275366,389400,615.8820190429688
1756211896.5820036,390400,603.9727783203125
1756211897.3052204,390725,616.0372924804688
1756211899.1858487,391475,622.78955078125
1756211900.972077,392175,597.638916015625
1756211901.9844878,392575,608.0086059570312
1756211903.3238328,393100,607.2896728515625
1756211906.6032891,394450,608.1217651367188
1756211908.076645,395050,627.401123046875
1756211909.0622535,395450,622.069091796875
1756211911.0437868,396200,592.9076538085938
1756211914.6832905,397700,573.4049072265625
1756211915.6075659,398050,544.7203979492188
1756211917.403161,398750,544.3054809570312
1756211919.1982472,399525,552.7318115234375
1756211921.6644244,400550,570.7294921875
1756211923.0677383,401100,565.6004028320312
1756211925.0279331,401900,589.46044921875
1756211926.8811536,402650,608.4200439453125
1756211930.2101486,404000,608.5115966796875
1756211931.0934777,404350,592.9180908203125
1756211932.2176213,404825,594.8117065429688
1756211935.0248635,405975,574.8359375
1756211936.9211175,406725,582.3132934570312
1756211938.3814712,407325,569.8372192382812
1756211939.970648,407975,578.1820678710938
1756211944.7728946,410000,563.8226318359375
1756211945.8303835,410475,585.1275634765625
1756211947.6833162,411325,602.2793579101562
1756211948.0172808,411475,598.4638671875
1756211949.3067644,412025,599.7452392578125
1756211950.6870966,412600,597.1714477539062
1756211952.0183756,413175,603.4719848632812
1756211952.812284,413525,597.0643920898438
1756211954.4176047,414125,591.5335083007812
1756211956.1225069,414700,595.7509155273438
1756211957.2623186,415200,605.2037353515625
1756211957.969651,415525,594.908203125
1756211959.1068978,416075,582.9577026367188
1756211960.416338,416700,566.2893676757812
1756211966.1928592,419200,606.745361328125
1756211966.5074677,419325,614.280517578125
1756211969.4681156,420575,618.3184204101562
1756211970.2722447,420925,620.650146484375
1756211972.0265758,421675,622.3799438476562
1756211972.6823332,421975,624.9386596679688
1756211974.569423,422850,618.7687377929688
1756211975.9579103,423450,637.920166015625
1756211978.691958,424550,639.1588134765625
1756211979.6426613,424875,634.313232421875
1756211980.240166,425050,624.8582153320312
1756211981.291824,425400,619.099609375
1756211982.7409918,425950,632.8091430664062
1756211985.6946328,426850,623.3775634765625
1756211986.9208977,427350,621.5457763671875
1756211989.5874686,428500,582.843017578125
1756211990.164435,428775,587.6533203125
1756211990.9262888,429125,601.2893676757812
1756211992.2611198,429750,598.58203125
1756211992.9463017,430050,627.0264892578125
1756211994.1769717,430600,624.0093383789062
1756211998.151233,432275,627.3706665039062
1756211999.3288326,432775,624.3126831054688
1756212000.2899795,433175,621.8931274414062
1756212001.9330812,433850,624.0762329101562
1756212002.6635282,434150,640.9803466796875
1756212005.5525222,435350,654.1757202148438
